cust_id,lookalikes
C0017,"[('C0075', np.float64(0.7885924476218256)), ('C0024', np.float64(0.7405690774247052)), ('C0156', np.float64(0.672307348553436))]"
C0018,"[('C0046', np.float64(0.8971565836149343)), ('C0117', np.float64(0.825355213837261)), ('C0087', np.float64(0.7372807262725561))]"
C0019,"[('C0121', np.float64(0.7448536186844494)), ('C0071', np.float64(0.6570660560697563)), ('C0147', np.float64(0.6178613196601305))]"
C0020,"[('C0026', np.float64(0.7923438783688482)), ('C0050', np.float64(0.7521923380979775)), ('C0078', np.float64(0.7198401507051981))]"
C0021,"[('C0173', np.float64(0.971154799587205)), ('C0004', np.float64(0.8168805484004313)), ('C0175', np.float64(0.8160055517117766))]"
C0022,"[('C0143', np.float64(0.7344580251201898)), ('C0200', np.float64(0.6619054116662955)), ('C0145', np.float64(0.6454033397433055))]"
C0023,"[('C0082', np.float64(0.6975978565353641)), ('C0053', np.float64(0.6917344343165053)), ('C0153', np.float64(0.6846533913434185))]"
C0024,"[('C0194', np.float64(0.7821161408513235)), ('C0047', np.float64(0.7777405914664302)), ('C0017', np.float64(0.7405690774247052))]"
C0025,"[('C0083', np.float64(0.7623285549707725)), ('C0060', np.float64(0.7455201080044263)), ('C0071', np.float64(0.7034261069123328))]"
C0026,"[('C0020', np.float64(0.7923438783688482)), ('C0050', np.float64(0.7709278402926557)), ('C0035', np.float64(0.6502958944442396))]"
C0027,"[('C0193', np.float64(0.696780147287135)), ('C0043', np.float64(0.671479581870942)), ('C0123', np.float64(0.5774437513146571))]"
C0028,"[('C0054', np.float64(0.8981053400614328)), ('C0143', np.float64(0.7509039090617674)), ('C0065', np.float64(0.7222193311626343))]"
C0029,"[('C0083', np.float64(0.7402665136119964)), ('C0002', np.float64(0.7214317729438512)), ('C0198', np.float64(0.7161551532338766))]"
C0030,"[('C0034', np.float64(0.6962327942779282)), ('C0049', np.float64(0.6801642720063935)), ('C0098', np.float64(0.6491480623311131))]"
C0031,"[('C0151', np.float64(0.7863467711832849)), ('C0076', np.float64(0.7668341395631044)), ('C0052', np.float64(0.7491021561954133))]"
C0032,"[('C0151', np.float64(0.8112193944453846)), ('C0077', np.float64(0.7806531489397821)), ('C0033', np.float64(0.7539709996338237))]"
C0033,"[('C0058', np.float64(0.887566388936699)), ('C0077', np.float64(0.8764646675443021)), ('C0151', np.float64(0.8055461146784734))]"
C0034,"[('C0067', np.float64(0.8785149976307246)), ('C0016', np.float64(0.7656666027548009)), ('C0030', np.float64(0.6962327942779282))]"
C0035,"[('C0055', np.float64(0.7837929920725948)), ('C0072', np.float64(0.7637758806616135)), ('C0154', np.float64(0.697384804831205))]"
C0036,"[('C0015', np.float64(0.7743811202826798)), ('C0144', np.float64(0.695903491867)), ('C0191', np.float64(0.67498895628744))]"
C0037,"[('C0196', np.float64(0.8550907366145106)), ('C0053', np.float64(0.7233939781411954)), ('C0100', np.float64(0.7141504082196116))]"
C0038,"[('C0160', np.float64(0.8118635410894893)), ('C0029', np.float64(0.640025875221032)), ('C0166', np.float64(0.6336378211636893))]"
C0039,"[('C0048', np.float64(0.7806717519239652)), ('C0187', np.float64(0.7176135698659767)), ('C0190', np.float64(0.6814170728169824))]"
C0040,"[('C0196', np.float64(0.7295520200892932)), ('C0168', np.float64(0.6959347775540317)), ('C0079', np.float64(0.6788048711764837))]"
C0041,"[('C0064', np.float64(0.8239117746882157)), ('C0141', np.float64(0.808908875143904)), ('C0087', np.float64(0.7299840149660217))]"
C0042,"[('C0176', np.float64(0.7236218910627557)), ('C0150', np.float64(0.5580854863808096)), ('C0144', np.float64(0.5524640223044464))]"
C0043,"[('C0097', np.float64(0.7329064104268509)), ('C0128', np.float64(0.7318642084686202)), ('C0121', np.float64(0.702374966458979))]"
C0044,"[('C0066', np.float64(0.7715553815035731)), ('C0089', np.float64(0.756095346258858)), ('C0117', np.float64(0.6932823740484387))]"
C0045,"[('C0188', np.float64(0.7742034355814686)), ('C0162', np.float64(0.7660574175396435)), ('C0102', np.float64(0.7159103184402879))]"
C0046,"[('C0018', np.float64(0.8971565836149343)), ('C0087', np.float64(0.8158147407724751)), ('C0065', np.float64(0.7130489642658332))]"
C0047,"[('C0116', np.float64(0.7848658252099476)), ('C0024', np.float64(0.7777405914664302)), ('C0194', np.float64(0.7555097413444402))]"
C0048,"[('C0039', np.float64(0.7806717519239652)), ('C0190', np.float64(0.6884440234927868)), ('C0105', np.float64(0.6091933897699011))]"
C0049,"[('C0098', np.float64(0.8693206089367598)), ('C0047', np.float64(0.7115253337022678)), ('C0034', np.float64(0.695891393859552))]"
C0050,"[('C0026', np.float64(0.7709278402926557)), ('C0020', np.float64(0.7521923380979775)), ('C0066', np.float64(0.7180865771291444))]"
C0051,"[('C0054', np.float64(0.7173675283093576)), ('C0105', np.float64(0.7117102136907738)), ('C0028', np.float64(0.7066483775252516))]"
C0052,"[('C0031', np.float64(0.7491021561954133)), ('C0003', np.float64(0.7371018019864475)), ('C0076', np.float64(0.6971845630610299))]"
C0053,"[('C0149', np.float64(0.7426493436619085)), ('C0196', np.float64(0.7292245001175232)), ('C0037', np.float64(0.7233939781411954))]"
C0054,"[('C0028', np.float64(0.8981053400614328)), ('C0143', np.float64(0.7770852829080109)), ('C0059', np.float64(0.7373268141571937))]"
C0055,"[('C0072', np.float64(0.791566550022835)), ('C0035', np.float64(0.7837929920725948)), ('C0154', np.float64(0.7740778320623533))]"
C0056,"[('C0092', np.float64(0.6930911362693757)), ('C0098', np.float64(0.613455655412569)), ('C0186', np.float64(0.5698296233017935))]"
C0057,"[('C0041', np.float64(0.6972573657668961)), ('C0081', np.float64(0.6625494358327136)), ('C0064', np.float64(0.6449981357934201))]"
C0058,"[('C0033', np.float64(0.887566388936699)), ('C0144', np.float64(0.790834474225669)), ('C0094', np.float64(0.7768225263919044))]"
C0059,"[('C0065', np.float64(0.8840638937681228)), ('C0156', np.float64(0.7406728243369146)), ('C0054', np.float64(0.7373268141571937))]"
C0060,"[('C0198', np.float64(0.7837055651860353)), ('C0097', np.float64(0.7789375219662265)), ('C0083', np.float64(0.7778272839912868))]"
C0061,"[('C0062', np.float64(0.7468926456422685)), ('C0198', np.float64(0.7103126261128031)), ('C0010', np.float64(0.6411786501483296))]"
C0062,"[('C0198', np.float64(0.8268509015938801)), ('C0010', np.float64(0.784980866641409)), ('C0061', np.float64(0.7468926456422685))]"
C0063,"[('C0167', np.float64(0.7835471386416335)), ('C0142', np.float64(0.7088311959467232)), ('C0121', np.float64(0.6914998527166505))]"
C0064,"[('C0041', np.float64(0.8239117746882157)), ('C0057', np.float64(0.6449981357934201)), ('C0044', np.float64(0.6041558163908802))]"
C0065,"[('C0059', np.float64(0.8840638937681228)), ('C0156', np.float64(0.8256516317776523)), ('C0054', np.float64(0.7299581207740556))]"
C0066,"[('C0114', np.float64(0.9040236457821449)), ('C0182', np.float64(0.7887620813613427)), ('C0089', np.float64(0.7852836306655626))]"
C0067,"[('C0016', np.float64(0.8989580240027931)), ('C0034', np.float64(0.8785149976307246)), ('C0145', np.float64(0.6437581788941749))]"
C0068,"[('C0156', np.float64(0.7508793690681774)), ('C0122', np.float64(0.7372709478219254)), ('C0102', np.float64(0.7050605272018077))]"
C0069,"[('C0157', np.float64(0.6965547534935042)), ('C0127', np.float64(0.6918582796859075)), ('C0119', np.float64(0.6402384785531903))]"
C0070,"[('C0135', np.float64(0.7842598807284038)), ('C0074', np.float64(0.7600701843986634)), ('C0073', np.float64(0.7368914360124104))]"
C0071,"[('C0083', np.float64(0.7504369630985462)), ('C0025', np.float64(0.7034261069123328)), ('C0150', np.float64(0.7015680534765254))]"
C0072,"[('C0055', np.float64(0.791566550022835)), ('C0035', np.float64(0.7637758806616135)), ('C0154', np.float64(0.7545593445193718))]"
C0073,"[('C0131', np.float64(0.8222402631759554)), ('C0132', np.float64(0.7760290922558928)), ('C0070', np.float64(0.7368914360124104))]"
C0074,"[('C0070', np.float64(0.7600701843986634)), ('C0135', np.float64(0.751975893800416)), ('C0073', np.float64(0.6757571070170177))]"
C0075,"[('C0156', np.float64(0.7909313465020049)), ('C0017', np.float64(0.7885924476218256)), ('C0175', np.float64(0.7432907290637432))]"
C0076,"[('C0003', np.float64(0.8773668040707575)), ('C0031', np.float64(0.7668341395631044)), ('C0189', np.float64(0.7591455858929598))]"
C0077,"[('C0033', np.float64(0.8764646675443021)), ('C0032', np.float64(0.7806531489397821)), ('C0083', np.float64(0.7724667445127408))]"
C0078,"[('C0110', np.float64(0.8253314967791303)), ('C0080', np.float64(0.7912060586835031)), ('C0123', np.float64(0.7596929081421337))]"
C0079,"[('C0196', np.float64(0.7554263719964648)), ('C0040', np.float64(0.6788048711764837)), ('C0168', np.float64(0.5873793219284488))]"
C0080,"[('C0110', np.float64(0.8817180130520084)), ('C0078', np.float64(0.7912060586835031)), ('C0140', np.float64(0.726796816318187))]"
C0081,"[('C0057', np.float64(0.6625494358327136)), ('C0017', np.float64(0.6617137706379524)), ('C0177', np.float64(0.6103376354455285))]"
C0082,"[('C0168', np.float64(0.8045857199946349)), ('C0188', np.float64(0.8027485982253291)), ('C0165', np.float64(0.798391524741799))]"
C0083,"[('C0060', np.float64(0.7778272839912868)), ('C0077', np.float64(0.7724667445127408)), ('C0198', np.float64(0.763844924044702))]"
C0084,"[('C0093', np.float64(0.7495386653295459)), ('C0028', np.float64(0.6677765665825239)), ('C0008', np.float64(0.6349551448643876))]"
C0085,"[('C0078', np.float64(0.7141639974146875)), ('C0177', np.float64(0.7043472076560219)), ('C0187', np.float64(0.6609458816756719))]"
C0086,"[('C0166', np.float64(0.7543056875628386)), ('C0179', np.float64(0.7006677493344035)), ('C0164', np.float64(0.6445987709768307))]"
C0087,"[('C0046', np.float64(0.8158147407724751)), ('C0018', np.float64(0.7372807262725561)), ('C0013', np.float64(0.7324397704124403))]"
C0088,"[('C0002', np.float64(0.6708365258842232)), ('C0106', np.float64(0.6451518975716405)), ('C0134', np.float64(0.6181564419027581))]"
C0089,"[('C0066', np.float64(0.7852836306655626)), ('C0044', np.float64(0.756095346258858)), ('C0080', np.float64(0.7220956060478863))]"
C0090,"[('C0101', np.float64(0.7250300331905792)), ('C0021', np.float64(0.7048516334202883)), ('C0173', np.float64(0.6127496663769633))]"
C0091,"[('C0184', np.float64(0.7116146307191535)), ('C0181', np.float64(0.65317830160999)), ('C0192', np.float64(0.6221591791619141))]"
C0092,"[('C0056', np.float64(0.6930911362693757)), ('C0115', np.float64(0.5560997338557834)), ('C0078', np.float64(0.5541374565922115))]"
C0093,"[('C0084', np.float64(0.7495386653295459)), ('C0143', np.float64(0.7293223950151903)), ('C0028', np.float64(0.669191012082499))]"
C0094,"[('C0058', np.float64(0.7768225263919044)), ('C0121', np.float64(0.7493243242806947)), ('C0032', np.float64(0.7490278122623681))]"
C0095,"[('C0130', np.float64(0.857205510153783)), ('C0112', np.float64(0.7686584183437254)), ('C0150', np.float64(0.7310460760734712))]"
C0096,"[('C0148', np.float64(0.8692290841987447)), ('C0168', np.float64(0.780749010740093)), ('C0082', np.float64(0.7477630484318433))]"
C0097,"[('C0128', np.float64(0.8741933755062657)), ('C0151', np.float64(0.8308981531773422)), ('C0014', np.float64(0.8280410089928408))]"
C0098,"[('C0049', np.float64(0.8693206089367598)), ('C0194', np.float64(0.7963416315988593)), ('C0154', np.float64(0.7418268388277067))]"
C0099,"[('C0141', np.float64(0.814417495308095)), ('C0188', np.float64(0.7701259299806269)), ('C0108', np.float64(0.7520157579691016))]"
C0100,"[('C0149', np.float64(0.7251375806294541)), ('C0037', np.float64(0.7141504082196116)), ('C0170', np.float64(0.6999485502662361))]"
C0101,"[('C0021', np.float64(0.8148151471386921)), ('C0173', np.float64(0.7608172869120167)), ('C0156', np.float64(0.743826905423892))]"
C0102,"[('C0188', np.float64(0.8728686182258509)), ('C0165', np.float64(0.7795083035224029)), ('C0104', np.float64(0.7628082318444195))]"
C0103,"[('C0134', np.float64(0.8214217023712784)), ('C0199', np.float64(0.7538973609106944)), ('C0010', np.float64(0.7493899415655269))]"
C0104,"[('C0188', np.float64(0.8063541649636862)), ('C0165', np.float64(0.8045896186014921)), ('C0113', np.float64(0.7932339510484221))]"
C0105,"[('C0114', np.float64(0.7484889509527254)), ('C0051', np.float64(0.7117102136907738)), ('C0182', np.float64(0.658776402691589))]"
C0106,"[('C0134', np.float64(0.7693381625313018)), ('C0002', np.float64(0.7470661732603929)), ('C0088', np.float64(0.6451518975716405))]"
C0107,"[('C0152', np.float64(0.6656071378207101)), ('C0133', np.float64(0.6490171735612722)), ('C0108', np.float64(0.6071849324119425))]"
C0108,"[('C0099', np.float64(0.7520157579691016)), ('C0165', np.float64(0.6805087932653135)), ('C0104', np.float64(0.6684158813887986))]"
C0109,"[('C0175', np.float64(0.7513582044276554)), ('C0156', np.float64(0.72778455690189)), ('C0139', np.float64(0.7161708072119367))]"
C0110,"[('C0080', np.float64(0.8817180130520084)), ('C0078', np.float64(0.8253314967791303)), ('C0020', np.float64(0.7163434295147794))]"
C0111,"[('C0172', np.float64(0.7061114969021683)), ('C0009', np.float64(0.6678313107910474)), ('C0049', np.float64(0.6490772797557397))]"
C0112,"[('C0001', np.float64(0.8714100521845012)), ('C0192', np.float64(0.7688190036557981)), ('C0095', np.float64(0.7686584183437254))]"
C0113,"[('C0104', np.float64(0.7932339510484221)), ('C0165', np.float64(0.7144564984484514)), ('C0004', np.float64(0.6861447542086971))]"
C0114,"[('C0066', np.float64(0.9040236457821449)), ('C0182', np.float64(0.8674489389860177)), ('C0105', np.float64(0.7484889509527254))]"
C0115,"[('C0066', np.float64(0.7679357333229893)), ('C0078', np.float64(0.7060709092819574)), ('C0050', np.float64(0.6926052929392617))]"
C0116,"[('C0047', np.float64(0.7848658252099476)), ('C0194', np.float64(0.7380271276283317)), ('C0024', np.float64(0.7280314537859622))]"
C0117,"[('C0018', np.float64(0.825355213837261)), ('C0185', np.float64(0.7224612239759229)), ('C0044', np.float64(0.6932823740484387))]"
C0118,"[('C0153', np.float64(0.7248132961964533)), ('C0174', np.float64(0.7165361827763874)), ('C0147', np.float64(0.7143941494060194))]"
C0119,"[('C0121', np.float64(0.7422174028403807)), ('C0009', np.float64(0.7020839578482019)), ('C0157', np.float64(0.6891182455248896))]"
C0120,"[('C0112', np.float64(0.7297411336561456)), ('C0095', np.float64(0.7234697840764857)), ('C0130', np.float64(0.6831749558065645))]"
C0121,"[('C0009', np.float64(0.7503429329497597)), ('C0094', np.float64(0.7493243242806947)), ('C0032', np.float64(0.7491331107019689))]"
C0122,"[('C0068', np.float64(0.7372709478219254)), ('C0139', np.float64(0.7271834113908344)), ('C0165', np.float64(0.7151962937804492))]"
C0123,"[('C0078', np.float64(0.7596929081421337)), ('C0142', np.float64(0.6850456828734569)), ('C0063', np.float64(0.6834455588928511))]"
C0124,"[('C0051', np.float64(0.6557490411303551)), ('C0172', np.float64(0.6511341143732544)), ('C0012', np.float64(0.6109011862488836))]"
C0125,"[('C0131', np.float64(0.713555223556645)), ('C0029', np.float64(0.6090679764651735)), ('C0176', np.float64(0.533374958260085))]"
C0126,"[('C0087', np.float64(0.7265448599080729)), ('C0187', np.float64(0.7123912174485111)), ('C0137', np.float64(0.6350226121428366))]"
C0127,"[('C0069', np.float64(0.6918582796859075)), ('C0119', np.float64(0.6126557159325567)), ('C0105', np.float64(0.5841722496844385))]"
C0128,"[('C0097', np.float64(0.8741933755062657)), ('C0060', np.float64(0.7707306247598315)), ('C0014', np.float64(0.7451981355233126))]"
C0129,"[('C0144', np.float64(0.6325010668090459)), ('C0085', np.float64(0.6209390437303872)), ('C0133', np.float64(0.5582275304202355))]"
C0130,"[('C0095', np.float64(0.857205510153783)), ('C0150', np.float64(0.7664270930093602)), ('C0112', np.float64(0.7349350896361686))]"
C0131,"[('C0073', np.float64(0.8222402631759554)), ('C0125', np.float64(0.713555223556645)), ('C0071', np.float64(0.6571476320232695))]"
C0132,"[('C0073', np.float64(0.7760290922558928)), ('C0063', np.float64(0.6912349369881114)), ('C0198', np.float64(0.644563757514336))]"
C0133,"[('C0107', np.float64(0.6490171735612722)), ('C0174', np.float64(0.6348635690942545)), ('C0158', np.float64(0.6241025446952979))]"
C0134,"[('C0103', np.float64(0.8214217023712784)), ('C0002', np.float64(0.8194219742600629)), ('C0106', np.float64(0.7693381625313018))]"
C0135,"[('C0070', np.float64(0.7842598807284038)), ('C0074', np.float64(0.751975893800416)), ('C0073', np.float64(0.7301728572797563))]"
C0136,"[('C0138', np.float64(0.611783755529302)), ('C0170', np.float64(0.5785831936474917)), ('C0046', np.float64(0.5594026518840117))]"
C0137,"[('C0191', np.float64(0.7197519315285622)), ('C0126', np.float64(0.6350226121428366)), ('C0085', np.float64(0.6303975998258211))]"
C0138,"[('C0182', np.float64(0.7554213529652659)), ('C0114', np.float64(0.7074557842132625)), ('C0054', np.float64(0.6919822487175548))]"
C0139,"[('C0161', np.float64(0.7507189396672482)), ('C0147', np.float64(0.7490754568857774)), ('C0122', np.float64(0.7271834113908344))]"
C0140,"[('C0007', np.float64(0.859996570815779)), ('C0186', np.float64(0.7916829321768765)), ('C0080', np.float64(0.726796816318187))]"
C0141,"[('C0099', np.float64(0.814417495308095)), ('C0041', np.float64(0.808908875143904)), ('C0082', np.float64(0.7523005024780253))]"
C0142,"[('C0177', np.float64(0.7490534161535087)), ('C0063', np.float64(0.7088311959467232)), ('C0123', np.float64(0.6850456828734569))]"
C0143,"[('C0054', np.float64(0.7770852829080109)), ('C0028', np.float64(0.7509039090617674)), ('C0022', np.float64(0.7344580251201898))]"
C0144,"[('C0058', np.float64(0.790834474225669)), ('C0033', np.float64(0.7427438077687794)), ('C0020', np.float64(0.6978317333011366))]"
C0145,"[('C0175', np.float64(0.7330663888976033)), ('C0099', np.float64(0.7133139277737419)), ('C0141', np.float64(0.7118384360683735))]"
C0146,"[('C0186', np.float64(0.6546183034756922)), ('C0115', np.float64(0.6297462867046257)), ('C0035', np.float64(0.6153433972893294))]"
C0147,"[('C0161', np.float64(0.7763262523903667)), ('C0139', np.float64(0.7490754568857774)), ('C0118', np.float64(0.7143941494060194))]"
C0148,"[('C0096', np.float64(0.8692290841987447)), ('C0188', np.float64(0.7767507694801499)), ('C0168', np.float64(0.7299458152715307))]"
C0149,"[('C0053', np.float64(0.7426493436619085)), ('C0100', np.float64(0.7251375806294541)), ('C0196', np.float64(0.5914249772639618))]"
C0150,"[('C0130', np.float64(0.7664270930093602)), ('C0083', np.float64(0.7591675745514129)), ('C0198', np.float64(0.7587696747084405))]"
C0151,"[('C0014', np.float64(0.850056310540527)), ('C0097', np.float64(0.8308981531773422)), ('C0032', np.float64(0.8112193944453846))]"
C0152,"[('C0107', np.float64(0.6656071378207101)), ('C0025', np.float64(0.6284597768594502)), ('C0113', np.float64(0.6234109062548073))]"
C0153,"[('C0165', np.float64(0.7492657339001408)), ('C0082', np.float64(0.7385586329485334)), ('C0118', np.float64(0.7248132961964533))]"
C0154,"[('C0055', np.float64(0.7740778320623533)), ('C0072', np.float64(0.7545593445193718)), ('C0194', np.float64(0.7505059958158553))]"
C0155,"[('C0165', np.float64(0.78960808815352)), ('C0004', np.float64(0.7831997880005993)), ('C0175', np.float64(0.752197187884573))]"
C0156,"[('C0065', np.float64(0.8256516317776523)), ('C0075', np.float64(0.7909313465020049)), ('C0068', np.float64(0.7508793690681774))]"
C0157,"[('C0069', np.float64(0.6965547534935042)), ('C0119', np.float64(0.6891182455248896)), ('C0055', np.float64(0.6713448577892794))]"
C0158,"[('C0003', np.float64(0.7089960507635181)), ('C0096', np.float64(0.6913710946589755)), ('C0133', np.float64(0.6241025446952979))]"
C0159,"[('C0128', np.float64(0.6529588666866769)), ('C0005', np.float64(0.639859008482489)), ('C0166', np.float64(0.6060064025654023))]"
C0160,"[('C0038', np.float64(0.8118635410894893)), ('C0166', np.float64(0.6297982743596469)), ('C0029', np.float64(0.6087393420176274))]"
C0161,"[('C0147', np.float64(0.7763262523903667)), ('C0139', np.float64(0.7507189396672482)), ('C0175', np.float64(0.7000178740088573))]"
C0162,"[('C0173', np.float64(0.8042078312096298)), ('C0045', np.float64(0.7660574175396435)), ('C0175', np.float64(0.7516222082219997))]"
C0163,"[('C0082', np.float64(0.6976254088257222)), ('C0104', np.float64(0.6934510218957604)), ('C0096', np.float64(0.6789389605901652))]"
C0164,"[('C0086', np.float64(0.6445987709768307)), ('C0189', np.float64(0.622872327123592)), ('C0179', np.float64(0.6157738145949577))]"
C0165,"[('C0004', np.float64(0.8568306366012264)), ('C0169', np.float64(0.81570891320019)), ('C0175', np.float64(0.8107595051702434))]"
C0166,"[('C0086', np.float64(0.7543056875628386)), ('C0010', np.float64(0.7053837049745378)), ('C0198', np.float64(0.6640998651239073))]"
C0167,"[('C0063', np.float64(0.7835471386416335)), ('C0044', np.float64(0.6824471402275348)), ('C0110', np.float64(0.6492225489131703))]"
C0168,"[('C0171', np.float64(0.8325821938896896)), ('C0082', np.float64(0.8045857199946349)), ('C0096', np.float64(0.780749010740093))]"
C0169,"[('C0165', np.float64(0.81570891320019)), ('C0155', np.float64(0.7356711032854639)), ('C0004', np.float64(0.6921816859484091))]"
C0170,"[('C0196', np.float64(0.7120624117886669)), ('C0182', np.float64(0.7058631924656735)), ('C0100', np.float64(0.6999485502662361))]"
C0171,"[('C0168', np.float64(0.8325821938896896)), ('C0082', np.float64(0.79407277621299)), ('C0096', np.float64(0.7337177639770386))]"
C0172,"[('C0031', np.float64(0.7350961053832277)), ('C0111', np.float64(0.7061114969021683)), ('C0098', np.float64(0.6716995746496334))]"
C0173,"[('C0021', np.float64(0.971154799587205)), ('C0175', np.float64(0.8601149576367799)), ('C0004', np.float64(0.8489014824231661))]"
C0174,"[('C0118', np.float64(0.7165361827763874)), ('C0071', np.float64(0.6911818798813276)), ('C0004', np.float64(0.6602203558494613))]"
C0175,"[('C0173', np.float64(0.8601149576367799)), ('C0021', np.float64(0.8160055517117766)), ('C0165', np.float64(0.8107595051702434))]"
C0176,"[('C0042', np.float64(0.7236218910627557)), ('C0029', np.float64(0.6899982760608092)), ('C0131', np.float64(0.6554652597542098))]"
C0177,"[('C0142', np.float64(0.7490534161535087)), ('C0085', np.float64(0.7043472076560219)), ('C0123', np.float64(0.6662772908095517))]"
C0178,"[('C0110', np.float64(0.6179233432287514)), ('C0080', np.float64(0.5930012390318788)), ('C0128', np.float64(0.5862034502011404))]"
C0179,"[('C0086', np.float64(0.7006677493344035)), ('C0166', np.float64(0.6391906031218334)), ('C0164', np.float64(0.6157738145949577))]"
C0181,"[('C0184', np.float64(0.7059446363960977)), ('C0190', np.float64(0.6631289351366988)), ('C0001', np.float64(0.658673860814965))]"
C0182,"[('C0114', np.float64(0.8674489389860177)), ('C0066', np.float64(0.7887620813613427)), ('C0138', np.float64(0.7554213529652659))]"
C0183,"[('C0016', np.float64(0.7116525055250835)), ('C0035', np.float64(0.6095031286970104)), ('C0200', np.float64(0.6051908349833841))]"
C0184,"[('C0001', np.float64(0.8761215291484783)), ('C0091', np.float64(0.7116146307191535)), ('C0181', np.float64(0.7059446363960977))]"
C0185,"[('C0117', np.float64(0.7224612239759229)), ('C0044', np.float64(0.6900096093063719)), ('C0050', np.float64(0.6829998643276467))]"
C0186,"[('C0140', np.float64(0.7916829321768765)), ('C0007', np.float64(0.6694411133602544)), ('C0146', np.float64(0.6546183034756922))]"
C0187,"[('C0006', np.float64(0.9174461063161405)), ('C0087', np.float64(0.7250876896848786)), ('C0039', np.float64(0.7176135698659767))]"
C0188,"[('C0102', np.float64(0.8728686182258509)), ('C0104', np.float64(0.8063541649636862)), ('C0082', np.float64(0.8027485982253291))]"
C0189,"[('C0076', np.float64(0.7591455858929598)), ('C0055', np.float64(0.7087722089529931)), ('C0003', np.float64(0.664421987138441))]"
C0190,"[('C0048', np.float64(0.6884440234927868)), ('C0039', np.float64(0.6814170728169824)), ('C0181', np.float64(0.6631289351366988))]"
C0191,"[('C0137', np.float64(0.7197519315285622)), ('C0036', np.float64(0.67498895628744)), ('C0024', np.float64(0.6408464469092628))]"
C0192,"[('C0112', np.float64(0.7688190036557981)), ('C0095', np.float64(0.7011168003985259)), ('C0083', np.float64(0.6743831861113346))]"
C0193,"[('C0027', np.float64(0.696780147287135)), ('C0123', np.float64(0.5808803820659796)), ('C0043', np.float64(0.5109075529040067))]"
C0194,"[('C0098', np.float64(0.7963416315988593)), ('C0024', np.float64(0.7821161408513235)), ('C0047', np.float64(0.7555097413444402))]"
C0195,"[('C0012', np.float64(0.7591833626184085)), ('C0039', np.float64(0.6090730731810563)), ('C0124', np.float64(0.5979174730787052))]"
C0196,"[('C0037', np.float64(0.8550907366145106)), ('C0079', np.float64(0.7554263719964648)), ('C0040', np.float64(0.7295520200892932))]"
C0197,"[('C0199', np.float64(0.7229717081115968)), ('C0130', np.float64(0.6400920116529815)), ('C0095', np.float64(0.6236237618781562))]"
C0198,"[('C0062', np.float64(0.8268509015938801)), ('C0010', np.float64(0.7886331415364208)), ('C0060', np.float64(0.7837055651860353))]"
C0199,"[('C0103', np.float64(0.7538973609106944)), ('C0197', np.float64(0.7229717081115968)), ('C0095', np.float64(0.7088610585118365))]"
C0200,"[('C0040', np.float64(0.670930015280208)), ('C0022', np.float64(0.6619054116662955)), ('C0148', np.float64(0.6336096527720472))]"
